name,category,price,rating,ram,storage,processor,battery,description
Lenovo IdeaPad Slim 3,Laptop,55000,4.3,16GB,512GB SSD,Intel Core i5,Up to 8 hours,Good for coding students and daily productivity
HP 15s,Laptop,52000,4.2,16GB,512GB SSD,Intel Core i5,Up to 7 hours,Good for college office work and multitasking
ASUS Vivobook 15,Laptop,58000,4.4,16GB,512GB SSD,Intel Core i5,Up to 8 hours,Strong programming performance with good display
Acer Aspire 5,Laptop,60000,4.3,16GB,512GB SSD,Intel Core i5,Up to 7 hours,Good for development multitasking and student projects
Samsung Galaxy M35,Mobile,20000,4.3,8GB,128GB,Exynos Series,6000mAh,Good battery camera and everyday performance
iQOO Z9,Mobile,22000,4.4,8GB,128GB,MediaTek Dimensity Series,5000mAh,Fast performance suitable for gaming and multitasking
OnePlus Nord CE,Mobile,25000,4.3,8GB,128GB,Snapdragon Series,5500mAh,Smooth performance good display and everyday use
Sony WH-CH520,Headphones,4500,4.5,NA,NA,Wireless Bluetooth,Up to 50 hours,Lightweight wireless headphones with long battery life
Boat Rockerz 450,Headphones,1600,4.2,NA,NA,Wireless Bluetooth,Up to 15 hours,Budget wireless headphones for music and calls
JBL Tune 510BT,Headphones,3500,4.4,NA,NA,Wireless Bluetooth,Up to 40 hours,Comfortable wireless headphones with strong audio
